english,transliteration,arabic,audioUrl,source
"son, (male) child",íbin (abnēʔ),اِبِن (أبْناء),http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav02-17.mp3,family_2
"daughter, (female) child",bínit (banēt),بِنِت (بنات),http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav02-18.mp3,family_2
Do you have any children?,3índak wlēd?,عِنْدك وْلاد؟,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav02-19.mp3,family_2
How many children do you have?,kam wálad 3índak?,كم وَلد عِنْدك؟,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav02-20.mp3,family_2
They have triplets.,3índun tlēt táwʔam.,عِنْدُن تْلات تَوْأم.,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav02-21.mp3,family_2
siblings,íxwi [pl.],إخْوِة,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav02-22.mp3,family_2
brother,xayy (ixwēt ʂubyēn),خيّ (اِخْوات صُبْيان),http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav02-23.mp3,family_2
My brother and my friend’s brother came with me.,xayyi w rfīʔ xáyyi íju má3i.,خيّي ورْفيق خيّي إجو معي.,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav02-24.mp3,family_2
sister,"íxit (ixwēt banēt, xayyēt)",إخِت (إخْوات بنات، خَيّات),http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav02-25.mp3,family_2
older brother,ákbar xayy,أكْبر خيّ,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav02-26.mp3,family_2
younger sister,áʂɣar íxit,أصْغر إخِت,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav02-27.mp3,family_2
Do you have any brothers or sisters?,3índak íxwi banēt?,عِندك إخْوِة بنات؟,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav02-28.mp3,family_2
I have two older sisters and one younger brother.,3índi ixtēn ákbar mínni u wáɧdi áʂɣar.,عِنْدي إخْتيْن أكْبر مِنّي وواحْدِة أصْغر.,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav02-29.mp3,family_2
I’m the youngest in my family.,ána áʂɣar wāɧad b-il3áyli.,أنا أصْغر واحد بِالعَيْلِة.,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav02-30.mp3,family_2
I’m the middle child/son.,ána wálad ilʔáwsaʈ.,أنا وَلد الأَوْسط.,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav02-31.mp3,family_2
I’m an only child.,ána wálad waɧīd.,أنا وَلد وَحيد.,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav02-32.mp3,family_2
twin,táwʔam,تَوْأم,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav02-33.mp3,family_2
twin,tūm,توم,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav02-34.mp3,family_2
Are you twins?,íntu tūm?,إنْتو توم؟,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav02-35.mp3,family_2
Are you twins?,íntu táwʔam?,إنْتو تَوْأم؟,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav02-36.mp3,family_2
I have a twin brother.,3índi xayy tūm.,عِنْدي خيّ توم.,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav02-37.mp3,family_2
half-brother,axx min jíhit ilʔabb,أخّ مِن جِهِة الأبّ,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav02-38.mp3,family_2
half-sister,íxit min jíhit ilʔabb,إخِت مِن جِهِة الأبّ,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav02-39.mp3,family_2
He’s my half-brother.,háyda xáyyi min ilbāba.,هَيْدا خيّي مِن البابا.,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav02-40.mp3,family_2
husband,jōz,جوْز,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav02-41.mp3,family_2
husband,zōj,زوْج,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav02-42.mp3,family_2
wife,záwji,زوْجِة,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav02-43.mp3,family_2
__’s wife,madām __,مدام__,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav02-44.mp3,family_2
__’s wife,mart __,مرْت__,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav02-45.mp3,family_2
His wife came with him.,íjit mártu má3u.,إجِت مرْتو معو.,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav02-46.mp3,family_2
His wife came with him.,íjit madāmtu má3u.,إجِت مدامْتو معو.,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav02-47.mp3,family_2
stepfather,jōz ilʔimm [lit. mother’s husband],جوْز الاِمّ,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav02-48.mp3,family_2
stepmother,mart ilbayy,مرْت البيّ,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav02-49.mp3,family_2
stepbrother,xayy min mart ilbāba,خيّ مِن مرْت البابا,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav02-50.mp3,family_2
stepbrother,xayy min zōj ilmāma,خيّ مِن زوْج الماما,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav02-51.mp3,family_2
stepsister,íxit min mart ilbāba,اِخِت مِن مرْت البابا,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav02-52.mp3,family_2
stepsister,íxit min zōj ilmāma,اِخِت مِن زوْج الماما,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav02-53.mp3,family_2
stepson,íbin zōj,اِبِن زَوْج,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav02-54.mp3,family_2
stepson,íbin márt__,اِبِن مرْت__,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav02-55.mp3,family_2
stepdaughter,bint zōj,بِنْت زوْج,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav02-56.mp3,family_2
stepdaughter,bint márt__,بِنْت مرت__,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav02-57.mp3,family_2
grandfather,jíddu,جِدّو,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav02-58.mp3,family_2
grandmother,tēta,تيْتة,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav02-59.mp3,family_2
grandma and grandpa,tēta u jíddu,تيْتة وجِدّو,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav02-60.mp3,family_2
great-grandfather,ábu jíddu,أبو جِدّو,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav02-61.mp3,family_2
grandson,ɧafīd,حفيد,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav02-62.mp3,family_2
granddaughter,ɧafīdi,حفيدِة,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav02-63.mp3,family_2
grandchildren,aɧfēd [pl.],أحْفاد,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav02-64.mp3,family_2
uncle (father’s brother),3amm (3mūm),عمّ (عْموم),http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav02-65.mp3,family_2
aunt (father’s brother’s wife),mart 3amm,مرْت عمّ,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav02-66.mp3,family_2
aunt (father’s sister),3ámmi,عمِّة,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav02-67.mp3,family_2
uncle (father’s sister’s husband),jōz 3ammi,جوْز عمِّة,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav02-68.mp3,family_2
uncle (mother’s brother),xāl (xwēl),خال (خْوال),http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav02-69.mp3,family_2
aunt (mother’s brother’s wife),mart xāl,مرْت خال,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav02-70.mp3,family_2
aunt (mother’s sister),xāli,خالِة,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav02-71.mp3,family_2
uncle (mother’s sister’s husband),zōj xāli,زوْج خالِة,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav02-72.mp3,family_2
cousin (father’s brother’s son),íbin 3amm,اِبِن عمّ,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav02-73.mp3,family_2
cousin (father’s brother’s daughter),bint 3amm,بِنْت عمّ,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav02-74.mp3,family_2
cousin (father’s sister’s son),íbin 3ámmi,اِبِن عمِّة,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav02-75.mp3,family_2
cousin (father’s sister’s daughter),bint 3ámmi,بِنْت عمِّة,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav02-76.mp3,family_2
cousin (mother’s brother’s son),íbin xāl,اِبِن خال,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav02-77.mp3,family_2
cousin (mother’s brother’s daughter),bint xāl,بِنْت خال,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav02-78.mp3,family_2
cousin (mother’s sister’s son),íbin xāli,اِبِن خالِة,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav02-79.mp3,family_2
cousin (mother’s sister’s daughter),bint xāli,بِنْت خالِة,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav02-80.mp3,family_2
We’re cousins.,níɧna wlēd 3amm.,نِحْنا وْلاد عمّ.,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav02-81.mp3,family_2
orphan,yatīm (aytēm),يَتيم (أَيْتام),http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav02-82.mp3,family_2
orphanage,dār ilʔaytēm (dūr ilʔaytēm),دار الأَيْتام (دور الأَيْتام),http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav02-83.mp3,family_2
to adopt,"tbánna, yitbánna",تْبنّى، يِتْبنّى,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav02-84.mp3,family_2
adoption,tabánni,تبنّي,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav02-85.mp3,family_2
adopted,mitbánni,مِتْبنّي,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav02-86.mp3,family_2
I was adopted.,ána tbannūni. [lit. they adopted me],أنا تْبنّوني.,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav02-87.mp3,family_2
an adopted son,íbin b-ittabánni,اِبِن بِالتّبنّي,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav02-88.mp3,family_2
adoptive parents,ahil b-ittabánni,أهِل بِالتّبنّي,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav02-89.mp3,family_2
"ancestors, forefathers",ajdēd [pl.],أجْداد,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav02-90.mp3,family_2
descendents,aɧfēd [pl.],أحْفاد,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav02-91.mp3,family_2
to eat,"ákal, yēkul",أكل، ياكُل,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav08-1.mp3,food_and_drink_2
What do you feel like eating?,šū báddak tēkul?,شو بدّك تاكُل؟,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav08-2.mp3,food_and_drink_2
food,ákil,أكِل,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav08-3.mp3,food_and_drink_2
to drink,"šírib, yíšrab",شِرِب، يِشْرب,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav08-4.mp3,food_and_drink_2
"drink, beverage",mašrūb,مشْروب,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav08-5.mp3,food_and_drink_2
a bite,líʔmi,لِقْمةِ,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav08-6.mp3,food_and_drink_2
to take a bite of,áxad [55] líʔmi min,أخد لِقْمِة مِن,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav08-7.mp3,food_and_drink_2
He took a bite of the hamburger and put it down.,áxad líʔmi min ilhāmbirgir u táraka.,أخد لِقْمِة مِن الهامْبِرْجِر وتركا.,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav08-8.mp3,food_and_drink_2
a sip,šáffi,شفِّة,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav08-9.mp3,food_and_drink_2
to take a drink/sip (of),šírib šáffi min,شِرِب شفِّة مِن,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav08-10.mp3,food_and_drink_2
to take a drink/sip (of),áxad [55] šaffi min,أخد شفِّة مِن,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav08-11.mp3,food_and_drink_2
She took a sip of water and put the glass down.,xádit šáfit māy u ɧáʈʈit lkibbēyi.,خدِت شفِة ماي وحطِّت الكِبّاية.,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav08-12.mp3,food_and_drink_2
to chew,"3álak, yí3luk",علك، يِعْلُك,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav08-13.mp3,food_and_drink_2
to swallow,"bála3, yíbla3",بلع، يِبْلع,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav08-14.mp3,food_and_drink_2
to choke on,"tšárdaʔ, yitšárdaʔ",تْشرْدق، يِتْشرْدق,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav08-15.mp3,food_and_drink_2
hungry,ju3ān,جُعان,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav08-16.mp3,food_and_drink_2
to get hungry,"jē3, yjū3",جاع، يْجوع,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav08-17.mp3,food_and_drink_2
hunger,jū3,جوع,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav08-18.mp3,food_and_drink_2
thirsty,3aʈšēn,عطْشان,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav08-19.mp3,food_and_drink_2
I'm so thirsty. Could I have some water?,ána 3aʈšēn. fīni íšrab māy?,أنا عِطْشان. فيني إشْرب ماي؟,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav08-20.mp3,food_and_drink_2
to become thirsty,"3íʈiš, yí3ʈaš",عِطِش، يِعْطش,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav08-21.mp3,food_and_drink_2
thirst,3áʈaš,عطش,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav08-22.mp3,food_and_drink_2
"full, satiated",šib3ān,شِبْعان,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav08-23.mp3,food_and_drink_2
to become full,"šíbi3, yíšba3",شِبِع، يِشْبع,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav08-24.mp3,food_and_drink_2
"Thanks, I’m full.","šúkran, šbí3it.",شُكْراً، شْبِعِت.,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav08-25.mp3,food_and_drink_2
to taste,"dāʔ, ydūʔ",داق، يدوق,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav08-26.mp3,food_and_drink_2
Taste the soup. Does it need salt?,"dūʔ iššūrba, bádda míliɧ?",دوق الشّورْبة، بدّا مِلِح؟,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav08-27.mp3,food_and_drink_2
"delicious, tasty",ʈáyyib,طيِّب,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav08-28.mp3,food_and_drink_2
taste,ʈá3mi,طعْمِة,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav08-29.mp3,food_and_drink_2
I don’t like how it tastes.,mā 3ájbitni ʈá3mita.,ما عجْبِتْني طعْمِتا.,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav08-30.mp3,food_and_drink_2
The milk tastes funny.,ʈá3mit ha-llában ɣarībi.,طعْمِة هالْلبن غريبِة.,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav08-31.mp3,food_and_drink_2
to go bad,"ntáza3, yíntizi3",نْتزع، يِنْتِزِع,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav08-32.mp3,food_and_drink_2
The milk has gone bad.,llában ntáza3.,اللّبن نْتزع.,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav08-33.mp3,food_and_drink_2
"to expire, be past its expiration date",xílʂit [55] míddita,خِلْصِت مِدِّتا,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav08-34.mp3,food_and_drink_2
The milk is past its expiration date.,xílʂit míddit ilɧalīb.,خِلْصِت مِدِّة الحليب.,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav08-35.mp3,food_and_drink_2
to rot,"3áffan, y3áffin",عفّن، يْعفِّن,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav08-36.mp3,food_and_drink_2
fresh,ʈāza,طازة,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav08-37.mp3,food_and_drink_2
stale,bēyit,بايِت,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav08-38.mp3,food_and_drink_2
bland,xafīf,خفيف,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav08-39.mp3,food_and_drink_2
salty,mēliɧ,مالِح,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav08-40.mp3,food_and_drink_2
How does the soup taste? It’s a little salty.,šū ráʔyak b-iššūrba?,شو رأْيك بِالشّورْبة؟,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav08-41.mp3,food_and_drink_2
sweet,ɧílu,حِلو,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav08-42.mp3,food_and_drink_2
sour,mizz,مِزّ,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav08-43.mp3,food_and_drink_2
bitter,murr,مُرّ,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav08-44.mp3,food_and_drink_2
spicy,ɧarr,حرّ,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav08-45.mp3,food_and_drink_2
I don’t like spicy food.,mā bɧibb ilʔákil ilɧarr.,ما بْحِبّ الأكِل الحرّ.,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav08-46.mp3,food_and_drink_2
pungent,ɧādd,حادّ,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav08-47.mp3,food_and_drink_2
"healthy, healthful",ʂúɧɧi,صُحّي,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav08-48.mp3,food_and_drink_2
good for you,mnīɧ la-ʂúɧɧtak,مْنيح لصُحّْتك,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav08-49.mp3,food_and_drink_2
unhealthy,mánnu ʂúɧɧi,منّو صُحّي,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav08-50.mp3,food_and_drink_2
bad for you,muɖírr la-ʂúɧɧtak,مُضِرّ لصُحّْتك,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav08-51.mp3,food_and_drink_2
Potato chips are really bad for you.,ilbaʈāʈa tšips muɖírr la-ʂúɧɧtak.,البطاطا شيبْس مُضِرّ لصُحّْتك.,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav08-52.mp3,food_and_drink_2
meal,wájbi,وجْبِة,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav08-53.mp3,food_and_drink_2
breakfast,tirwīʔa,تِرْويقة,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav08-54.mp3,food_and_drink_2
to have breakfast,"tráwwaʔ, yitráwwaʔ",تْروّق، يِتْروّق,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav08-55.mp3,food_and_drink_2
lunch,ɣáda,غدا,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav08-56.mp3,food_and_drink_2
to have lunch,"tɣádda, yitɣádda",تْغدّى، يِتْغدّى,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav08-57.mp3,food_and_drink_2
dinner,3áša,عشا,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav08-58.mp3,food_and_drink_2
to have dinner,"t3ášša, yit3ášša",تْعشّى، يِتْعشّى,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav08-59.mp3,food_and_drink_2
a snack,wájbi xafīfi,وَجْبِة خفيفِة,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav08-60.mp3,food_and_drink_2
to have a snack,ákal wájbi xafīfi,أكل وَجْبِة خفيفِة,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav08-61.mp3,food_and_drink_2
"If I feel hungry, I just have a small snack.",lámma jū3 bēkul wájbi xafīfi.,لمّا جوع باكُل وَجْبِة خفيفِة.,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav08-62.mp3,food_and_drink_2
water,māy,ماي,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav08-63.mp3,food_and_drink_2
ice,tálij,تلِج,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav08-64.mp3,food_and_drink_2
"Can I have a glass of water, please?",fīni āxud kibbēyit māy plīz?,فيني آخُد كِبّاية ماي بْليز؟,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav08-65.mp3,food_and_drink_2
mineral water,māy ma3daníyyi,ماي معْدنية,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav08-66.mp3,food_and_drink_2
juice,3aʂīr,عصير,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav08-67.mp3,food_and_drink_2
orange juice,3aʂīr lēmūn,عصير ليْمون,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav08-68.mp3,food_and_drink_2
"soda, carbonated drink",mašrūb ɣāzi,مشْروب غازي,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav08-69.mp3,food_and_drink_2
cola,kōlā,كوْلا,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav08-70.mp3,food_and_drink_2
Would you like some cola?,báddak šwayyi kōlā?,بدّك شْويِّة كولا؟,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav08-71.mp3,food_and_drink_2
Pepsi,pépsi,بيبْسي,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav08-72.mp3,food_and_drink_2
Diet Pepsi,pépsi dāyit,بيبْسي دايِت,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav08-73.mp3,food_and_drink_2
"Coke, Coca Cola",kōkā kōlā,كوْكا كوْلا,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav08-74.mp3,food_and_drink_2
Diet Coke,kōkā kōlā dāyit,كوْكا كوْلا دايِت,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav08-75.mp3,food_and_drink_2
can,tánki,تنْكِة,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav08-76.mp3,food_and_drink_2
There’s a can of cola in the fridge.,fi tánkit kōlā b-ilbirād.,في تنْكِة كوْلا بِالبِراد.,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav08-77.mp3,food_and_drink_2
bottle,anīni,أنينِة,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav08-78.mp3,food_and_drink_2
glass,kibbēyi,كِبّاية,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav08-79.mp3,food_and_drink_2
cup,finjēn (fanajīn),فِنْجان (فناجين),http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav08-80.mp3,food_and_drink_2
mug,mag,ماغ,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav08-81.mp3,food_and_drink_2
coffee,ʔáhwi,قهْوِة,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav08-82.mp3,food_and_drink_2
espresso,isprésso,إسْبْرسّو,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav08-83.mp3,food_and_drink_2
Turkish coffee,ʔáhwi tirkíyyi,قهْوِة تِرْكية,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav08-84.mp3,food_and_drink_2
How would you like your coffee?,šū ʔáhūtak?,شو قهوتك؟,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav08-85.mp3,food_and_drink_2
without sugar (lit. bitter),múrra,مُرّة,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav08-86.mp3,food_and_drink_2
with little sugar,síkkar ʔalīl,سِكّر قليل,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav08-87.mp3,food_and_drink_2
medium-sweet,wásaʈ,وَسط,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav08-88.mp3,food_and_drink_2
sweet,ɧílwi,حِلْوِة,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav08-89.mp3,food_and_drink_2
coffee beans,binn ʔáhwi,بِنّ قهْوِة,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav08-90.mp3,food_and_drink_2
instant coffee,ʔáhwi ʂabb,أهْوِة صبّ,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav08-91.mp3,food_and_drink_2
tea,šāy,شاي,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav08-92.mp3,food_and_drink_2
alcohol,kuɧūl,كُحول,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav08-93.mp3,food_and_drink_2
beer,bīra,بيرة,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav08-94.mp3,food_and_drink_2
wine,nbīd,نْبيد,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav08-95.mp3,food_and_drink_2
red wine,nbīd áɧmar,نْبيد أحْمر,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav08-96.mp3,food_and_drink_2
white wine,nbīd ábyaɖ,نْبيد أبْيَض,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav08-97.mp3,food_and_drink_2
drunk,sakrān,سكْران,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav08-98.mp3,food_and_drink_2
to get drunk,"síkir, yískar",سِكِر، يِسْكر,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav08-99.mp3,food_and_drink_2
tipsy,sikrān šwayy,سِكْران شْويّ,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav08-100.mp3,food_and_drink_2
to drink and drive,sāʔ [13] u húwwi sikrān,ساق وهُوِّ سِكْران,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav08-101.mp3,food_and_drink_2
Cheers!,ʂúɧɧtak!,صُحّْتك!,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav08-102.mp3,food_and_drink_2
dairy products,lábni u jíbni,لبْنِة وجِبْنِة,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav08-103.mp3,food_and_drink_2
milk,ɧalīb,حليب,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav08-104.mp3,food_and_drink_2
yoghurt,lában,لبن,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav08-105.mp3,food_and_drink_2
butter,zíbdi,زِبْدِة,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav08-106.mp3,food_and_drink_2
ice cream,būʐa,بوظة,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav08-107.mp3,food_and_drink_2
Eat your ice cream before it melts.,kūl ilbūʐa ʔábil mā tdūb.,كول البوظة قبِل ما تْدوب.,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav08-108.mp3,food_and_drink_2
cream,ʔášʈa,قشْطة,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav08-109.mp3,food_and_drink_2
margarine,sámni nabētíyyi,سمْنِة نباتية,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav08-110.mp3,food_and_drink_2
cheese,jíbni,جِبْنِة,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav08-111.mp3,food_and_drink_2
Areesh cheese (similar to cottage cheese or Ricotta),ʔarīši,قريِشِة,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav08-112.mp3,food_and_drink_2
